seq_algoritmo,seq_total,seq_outros,2_algoritmo,2_total,2_outros,3_algoritmo,3_total,3_outros,4_algoritmo,4_total,4_outros,5_algoritmo,5_total,5_outros
0.04099346,0.07021584,0.02922238,0.02758065,0.05557995,0.02799930,0.02855789,0.43703734,0.40847945,0.01866617,0.04776395,0.02909778,0.02222286,0.04992171,0.02769885
0.04872946,0.07962261,0.03089315,0.02188529,0.05081900,0.02893371,0.02190939,0.08995527,0.06804588,0.01698093,0.04345476,0.02647383,0.02547677,0.05431724,0.02884047
0.04014865,0.06731995,0.02717130,0.02116000,0.04743974,0.02627974,0.02308765,0.05647609,0.03338844,0.02791224,0.05574933,0.02783709,0.02185730,0.05007185,0.02821455
0.04354218,0.07191277,0.02837059,0.02711730,0.05546521,0.02834791,0.02325320,0.05130636,0.02805316,0.02418531,0.05034204,0.02615673,0.02210434,0.04925802,0.02715368
0.03987913,0.06854582,0.02866669,0.02306635,0.05149643,0.02843008,0.02231141,0.04968154,0.02737013,0.01742488,0.04411860,0.02669372,0.02653065,0.06118539,0.03465474
0.04298871,0.07011365,0.02712494,0.02220566,0.04957087,0.02736521,0.02424818,0.05206775,0.02781957,0.02195753,0.04826458,0.02630705,0.02214686,0.04806456,0.02591770
0.03930562,0.06511618,0.02581056,0.02968392,0.06034226,0.03065834,0.02392308,0.05006133,0.02613825,0.01893077,0.05001120,0.03108043,0.02305325,0.05105931,0.02800606
0.04274038,0.06841198,0.02567160,0.02163536,0.04823961,0.02660425,0.02937068,0.05814342,0.02877274,0.01838307,0.04621317,0.02783010,0.02565865,0.05853356,0.03287491
0.04026404,0.06599887,0.02573483,0.02144354,0.05000621,0.02856267,0.02423039,0.05600038,0.03176999,0.02696314,0.05396362,0.02700048,0.02363505,0.05118702,0.02755197
0.04260326,0.06820548,0.02560222,0.03462387,0.06208239,0.02745852,0.02409798,0.05000349,0.02590551,0.01813460,0.04576524,0.02763064,0.02671677,0.05610756,0.02939079
0.03953069,0.06931850,0.02978781,0.02293803,0.05166590,0.02872787,0.02409117,0.05766361,0.03357244,0.01754276,0.04443588,0.02689312,0.02355752,0.05148385,0.02792633
0.04286048,0.07155700,0.02869652,0.03286275,0.06497050,0.03210775,0.02365214,0.05183925,0.02818711,0.02755568,0.05542561,0.02786993,0.02386830,0.05178372,0.02791542
0.04013459,0.06828602,0.02815143,0.02234835,0.04993892,0.02759057,0.02570998,0.05713741,0.03142743,0.01910581,0.04693781,0.02783200,0.02696572,0.05419995,0.02723423
0.05010917,0.07629392,0.02618475,0.02769977,0.05890423,0.03120446,0.02344527,0.05005782,0.02661255,0.01709103,0.04465585,0.02756482,0.02184197,0.04828078,0.02643881
0.04227834,0.06877566,0.02649732,0.02397632,0.05153993,0.02756361,0.02325229,0.05103197,0.02777968,0.02898027,0.06153901,0.03255874,0.02587931,0.05344828,0.02756897
0.04918823,0.07497592,0.02578769,0.02255846,0.05265148,0.03009302,0.02512549,0.05543149,0.03030600,0.01836916,0.04677177,0.02840261,0.02270447,0.05331231,0.03060784
0.03944375,0.06615557,0.02671182,0.03278548,0.06184007,0.02905459,0.02292112,0.05257018,0.02964906,0.01761455,0.04438306,0.02676851,0.02158523,0.04717599,0.02559076
0.04318337,0.07076825,0.02758488,0.02271460,0.05064638,0.02793178,0.02662017,0.05442368,0.02780351,0.02453670,0.05305903,0.02852233,0.03026982,0.06029756,0.03002774
0.04341525,0.07217457,0.02875932,0.02263816,0.05039929,0.02776113,0.02311868,0.04990236,0.02678368,0.01870300,0.04623649,0.02753349,0.02310873,0.04951500,0.02640627
0.04412409,0.07045733,0.02633324,0.02363236,0.05124768,0.02761532,0.02370034,0.05154584,0.02784550,0.02641240,0.05504809,0.02863569,0.02295375,0.05010504,0.02715129
0.03971866,0.06563799,0.02591933,0.02280133,0.05334619,0.03054486,0.02685125,0.05709647,0.03024522,0.01773466,0.04535914,0.02762448,0.02189512,0.05148332,0.02958820
0.05037539,0.07740600,0.02703061,0.02912940,0.05720604,0.02807664,0.02393713,0.05156865,0.02763152,0.01733241,0.04381827,0.02648586,0.02334370,0.05200536,0.02866166
0.04001912,0.06803013,0.02801101,0.02161454,0.05044798,0.02883344,0.02532778,0.05393071,0.02860293,0.02901107,0.05508813,0.02607706,0.02513918,0.05441237,0.02927319
0.04265808,0.07056994,0.02791186,0.02400025,0.05312964,0.02912939,0.02278947,0.05020375,0.02741428,0.01713506,0.04401255,0.02687749,0.02283698,0.04877077,0.02593379
0.03975144,0.06677971,0.02702827,0.02587827,0.05437079,0.02849252,0.02477355,0.05326439,0.02849084,0.01758477,0.04420773,0.02662296,0.02407000,0.05015517,0.02608517
0.04965226,0.07616815,0.02651589,0.02282648,0.05203899,0.02921251,0.02300432,0.05159334,0.02858902,0.03059539,0.06006999,0.02947460,0.02598105,0.05354900,0.02756795
0.03993549,0.06595174,0.02601625,0.02757897,0.05671081,0.02913184,0.02839592,0.05754839,0.02915247,0.01706485,0.04517505,0.02811020,0.02213728,0.04986715,0.02772987
0.04985436,0.07570239,0.02584803,0.02309173,0.05088550,0.02779377,0.02350169,0.05416361,0.03066192,0.01758620,0.04386032,0.02627412,0.02747629,0.05544801,0.02797172
0.04035720,0.06644388,0.02608668,0.02298593,0.05031824,0.02733231,0.02246264,0.04965629,0.02719365,0.02485713,0.05409748,0.02924035,0.02206867,0.04987171,0.02780304
0.04320911,0.06887069,0.02566158,0.03256295,0.06467438,0.03211143,0.02835430,0.05797559,0.02962129,0.01712892,0.04354271,0.02641379,0.02163358,0.04726966,0.02563608
0.03924805,0.09992987,0.06068182,0.02251701,0.04869052,0.02617351,0.02344547,0.05055400,0.02710853,0.01832703,0.04399471,0.02566768,0.02294185,0.05238886,0.02944701
0.04142607,0.06956522,0.02813915,0.02291381,0.05015992,0.02724611,0.02363812,0.05453858,0.03090046,0.02592496,0.05507768,0.02915272,0.02222900,0.04928180,0.02705280
0.04128463,0.06719814,0.02591351,0.02567809,0.05846094,0.03278285,0.02392334,0.05216565,0.02824231,0.01773689,0.04434241,0.02660552,0.02220084,0.05037749,0.02817665
0.03941468,0.06803553,0.02862085,0.02289165,0.04967921,0.02678756,0.02428666,0.05232539,0.02803873,0.01799109,0.04476821,0.02677712,0.02604981,0.05509330,0.02904349
0.04195793,0.06947704,0.02751911,0.02779909,0.05453746,0.02673837,0.02744980,0.05763220,0.03018240,0.02544517,0.05374118,0.02829601,0.02232307,0.04867348,0.02635041
0.03998763,0.06758693,0.02759930,0.02351009,0.05018094,0.02667085,0.02236174,0.05046196,0.02810022,0.01703746,0.04276385,0.02572639,0.02729941,0.05560803,0.02830862
0.04523847,0.07118840,0.02594993,0.02163918,0.04890695,0.02726777,0.02265326,0.05040932,0.02775606,0.01799907,0.04362204,0.02562297,0.02345813,0.05075966,0.02730153
0.03999579,0.06858373,0.02858794,0.02751650,0.05814462,0.03062812,0.02448007,0.05307626,0.02859619,0.02809685,0.05792830,0.02983145,0.02178061,0.04955340,0.02777279
0.04363864,0.07375366,0.03011502,0.02105554,0.05033039,0.02927485,0.02318264,0.05036016,0.02717752,0.01707633,0.04391422,0.02683789,0.02766404,0.05861110,0.03094706
0.04279874,0.06870977,0.02591103,0.02222120,0.05141395,0.02919275,0.02483274,0.05236701,0.02753427,0.01704554,0.04407397,0.02702843,0.02264950,0.05134345,0.02869395
0.04968072,0.07558535,0.02590463,0.02321770,0.05095316,0.02773546,0.02316372,0.05269306,0.02952934,0.02588385,0.05330462,0.02742077,0.02237312,0.04965136,0.02727824
0.04003184,0.06599868,0.02596684,0.02125077,0.04867564,0.02742487,0.02480761,0.05323438,0.02842677,0.01734163,0.04564620,0.02830457,0.02298963,0.05587550,0.03288587
0.05002461,0.07591200,0.02588739,0.02695227,0.05534039,0.02838812,0.02515592,0.05879289,0.03363697,0.01765377,0.04532696,0.02767319,0.02201319,0.04849704,0.02648385
0.04142820,0.06695839,0.02553019,0.02249083,0.05029844,0.02780761,0.02305300,0.05051099,0.02745799,0.02346251,0.05263622,0.02917371,0.02739138,0.05505095,0.02765957
0.04806355,0.07467931,0.02661576,0.02139431,0.05004821,0.02865390,0.03113808,0.06120267,0.03006459,0.01726859,0.04351807,0.02624948,0.02350698,0.05074481,0.02723783
0.04060041,0.06599793,0.02539752,0.02712247,0.05965800,0.03253553,0.02363876,0.05085010,0.02721134,0.01722348,0.04451594,0.02729246,0.02241365,0.04869784,0.02628419
0.04315725,0.07180515,0.02864790,0.02175117,0.04918904,0.02743787,0.02224015,0.04986031,0.02762016,0.02601239,0.05828844,0.03227605,0.02703294,0.05574126,0.02870832
