seq_algoritmo,seq_total,seq_outros,2_algoritmo,2_total,2_outros,3_algoritmo,3_total,3_outros,4_algoritmo,4_total,4_outros,5_algoritmo,5_total,5_outros
0.00288801,0.00524418,0.00235617,0.00166730,0.00341524,0.00174794,0.00257048,0.00489643,0.00232595,0.00358205,0.00584390,0.00226185,0.00192861,0.00371186,0.00178325
0.00255755,0.00447531,0.00191776,0.00269367,0.00484160,0.00214793,0.00408929,0.00678286,0.00269357,0.00159292,0.00360628,0.00201336,0.00339182,0.00529756,0.00190574
0.00282138,0.02656829,0.02374691,0.00211996,0.00433491,0.00221495,0.00336633,0.00559594,0.00222961,0.00248366,0.00440123,0.00191757,0.00236829,0.00510082,0.00273253
0.00252693,0.00442654,0.00189961,0.00221157,0.00441365,0.00220208,0.00243652,0.00465098,0.00221446,0.00256387,0.00477158,0.00220771,0.00336413,0.00583200,0.00246787
0.00275467,0.00479219,0.00203752,0.00199329,0.00447990,0.00248661,0.00177563,0.00360151,0.00182588,0.00173019,0.00359375,0.00186356,0.00199414,0.00438551,0.00239137
0.00283186,0.00507078,0.00223892,0.00187256,0.00391185,0.00203929,0.00221821,0.00414275,0.00192454,0.00285625,0.00506998,0.00221373,0.00224755,0.00405568,0.00180813
0.00277893,0.00484554,0.00206661,0.00214857,0.00424260,0.00209403,0.00197281,0.00400198,0.00202917,0.00196834,0.00424716,0.00227882,0.00218025,0.00447277,0.00229252
0.00243526,0.00421509,0.00177983,0.00296213,0.00516215,0.00220002,0.00174875,0.00430399,0.00255524,0.00264302,0.00478335,0.00214033,0.00220945,0.00426003,0.00205058
0.00253650,0.00467950,0.00214300,0.00354586,0.00578490,0.00223904,0.00258158,0.00449646,0.00191488,0.00181249,0.00385396,0.00204147,0.00227259,0.00451978,0.00224719
0.00261096,0.00464947,0.00203851,0.00263388,0.00442187,0.00178799,0.00196806,0.00409432,0.00212626,0.00179803,0.00421365,0.00241562,0.00191379,0.00373047,0.00181668
0.00264004,0.00459037,0.00195033,0.00211218,0.00384068,0.00172850,0.00260414,0.00478784,0.00218370,0.00183164,0.00403063,0.00219899,0.00229320,0.00415310,0.00185990
0.00298709,0.00534561,0.00235852,0.00213143,0.00383972,0.00170829,0.00195814,0.00383952,0.00188138,0.00174077,0.00361600,0.00187523,0.00257588,0.00490834,0.00233246
0.00273130,0.00535736,0.00262606,0.00223882,0.00396634,0.00172752,0.00214083,0.00427270,0.00213187,0.00171643,0.00376525,0.00204882,0.00302911,0.00534895,0.00231984
0.00288294,0.00506260,0.00217966,0.00210438,0.00383446,0.00173008,0.00237043,0.00480888,0.00243845,0.00185856,0.00395122,0.00209266,0.00321625,0.00562680,0.00241055
