seq_algoritmo,seq_total,seq_outros,2_algoritmo,2_total,2_outros,3_algoritmo,3_total,3_outros,4_algoritmo,4_total,4_outros,5_algoritmo,5_total,5_outros
0.00088642,0.00151924,0.00063282,0.00130250,0.00191267,0.00061017,0.00110570,0.00187731,0.00077161,0.00150054,0.00214127,0.00064073,0.00113660,0.00175014,0.00061354
0.00075970,0.00137035,0.00061065,0.00107495,0.00191602,0.00084107,0.00110728,0.00187021,0.00076293,0.00137707,0.00211210,0.00073503,0.00334391,0.00407720,0.00073329
0.00092293,0.00170843,0.00078550,0.00128822,0.00210945,0.00082123,0.00116287,0.00189745,0.00073458,0.00401028,0.00495875,0.00094847,0.00121892,0.00194775,0.00072883
0.00086392,0.00152915,0.00066523,0.00093143,0.00164113,0.00070970,0.00100709,0.00169381,0.00068672,0.00135937,0.00210050,0.00074113,0.00104241,0.00164210,0.00059969
0.00089936,0.00168290,0.00078354,0.00093319,0.00164816,0.00071497,0.00104856,0.00185958,0.00081102,0.00250835,0.00322312,0.00071477,0.00112180,0.00168376,0.00056196
0.00101579,0.00175454,0.00073875,0.00096852,0.00173383,0.00076531,0.00098017,0.00173418,0.00075401,0.00108382,0.00172820,0.00064438,0.00130359,0.00196835,0.00066476
0.00087649,0.00161737,0.00074088,0.00097255,0.00173042,0.00075787,0.00100549,0.00171554,0.00071005,0.00115330,0.00175836,0.00060506,0.00151751,0.00233418,0.00081667
0.00081300,0.00147671,0.00066371,0.00088379,0.00151374,0.00062995,0.00086151,0.00145839,0.00059688,0.00125983,0.00186520,0.00060537,0.00118511,0.00196582,0.00078071
0.00081397,0.00148663,0.00067266,0.00094744,0.00168717,0.00073973,0.00099545,0.00167411,0.00067866,0.00128879,0.00203687,0.00074808,0.00115833,0.00184048,0.00068215
0.00077849,0.00141330,0.00063481,0.00100080,0.00172216,0.00072136,0.00114081,0.00186637,0.00072556,0.00105293,0.00162140,0.00056847,0.00122250,0.00185427,0.00063177
0.00082742,0.00147548,0.00064806,0.00099191,0.00175206,0.00076015,0.00104156,0.00176769,0.00072613,0.00114219,0.00170033,0.00055814,0.00158360,0.00229300,0.00070940
0.00071153,0.00132047,0.00060894,0.00095701,0.00173906,0.00078205,0.00105653,0.00176634,0.00070981,0.00113238,0.00169994,0.00056756,0.00153138,0.00226243,0.00073105
0.00081380,0.00147549,0.00066169,0.00090665,0.00163253,0.00072588,0.00109878,0.00183907,0.00074029,0.00107368,0.00163199,0.00055831,0.00130854,0.00203981,0.00073127
0.00081328,0.00152709,0.00071381,0.00101509,0.00183351,0.00081842,0.00114251,0.00189873,0.00075622,0.00107915,0.00165586,0.00057671,0.00136084,0.00210627,0.00074543
0.00090732,0.00161724,0.00070992,0.00099603,0.00178106,0.00078503,0.00085784,0.00147733,0.00061949,0.00735168,0.00798235,0.00063067,0.00138286,0.00212584,0.00074298
0.00082282,0.00150186,0.00067904,0.00099682,0.00172249,0.00072567,0.00181331,0.00245963,0.00064632,0.00122038,0.00184290,0.00062252,0.00110388,0.00176917,0.00066529
0.00081232,0.00144657,0.00063425,0.00098942,0.00172097,0.00073155,0.00185385,0.00262794,0.00077409,0.00094871,0.00159678,0.00064807,0.00105337,0.00163228,0.00057891
0.00094879,0.00167202,0.00072323,0.00095465,0.00163732,0.00068267,0.00096894,0.00159948,0.00063054,0.00131947,0.00212615,0.00080668,0.00103453,0.00169913,0.00066460
0.00087621,0.00156691,0.00069070,0.00094962,0.00166691,0.00071729,0.00129704,0.00184930,0.00055226,0.00095351,0.00167060,0.00071709,0.00129882,0.00197833,0.00067951
0.00087559,0.00163784,0.00076225,0.00109541,0.00182920,0.00073379,0.00110212,0.00171271,0.00061059,0.00092847,0.00155501,0.00062654,0.00132321,0.00200550,0.00068229
0.00084834,0.00148743,0.00063909,0.00107294,0.00184963,0.00077669,0.00087182,0.00147298,0.00060116,0.00102970,0.00168555,0.00065585,0.00135591,0.00197462,0.00061871
0.00122931,0.00206267,0.00083336,0.00093543,0.00161994,0.00068451,0.00093092,0.00147650,0.00054558,0.00109492,0.00169416,0.00059924,0.00127901,0.00189612,0.00061711
0.00071139,0.00129899,0.00058760,0.00097396,0.00179818,0.00082422,0.00108527,0.00170727,0.00062200,0.00089172,0.00144210,0.00055038,0.00132904,0.00278808,0.00145904
0.00071153,0.00129792,0.00058639,0.00140796,0.00211410,0.00070614,0.00108631,0.00173101,0.00064470,0.00086105,0.00151570,0.00065465,0.00137721,0.00202543,0.00064822
0.00091024,0.00158957,0.00067933,0.00114701,0.00184619,0.00069918,0.00089321,0.00148679,0.00059358,0.00107003,0.00179117,0.00072114,0.00144799,0.00208316,0.00063517
0.00078943,0.00140226,0.00061283,0.00148066,0.00225843,0.00077777,0.00083647,0.00139936,0.00056289,0.00115065,0.00192975,0.00077910,0.00133847,0.00195492,0.00061645
0.00075807,0.00135062,0.00059255,0.00243535,0.00318744,0.00075209,0.00094364,0.00150120,0.00055756,0.00098491,0.00165581,0.00067090,0.00119219,0.00185673,0.00066454
0.00076074,0.00139357,0.00063283,0.00142324,0.00208381,0.00066057,0.00083633,0.00142856,0.00059223,0.00101857,0.00172547,0.00070690,0.00191137,0.00270379,0.00079242
0.00075934,0.00134987,0.00059053,0.00104565,0.00163318,0.00058753,0.00088510,0.00146692,0.00058182,0.00101206,0.00167099,0.00065893,0.00146104,0.00213828,0.00067724
0.00099330,0.00166984,0.00067654,0.00142429,0.00202214,0.00059785,0.00200020,0.00310670,0.00110650,0.00100864,0.00169779,0.00068915,0.00285589,0.00377651,0.00092062
0.00095730,0.00170225,0.00074495,0.00102007,0.00155991,0.00053984,0.00092474,0.00175753,0.00083279,0.00113892,0.00185962,0.00072070,0.00133689,0.00213467,0.00079778
0.00089437,0.00164841,0.00075404,0.00108068,0.00174121,0.00066053,0.00085108,0.00142145,0.00057037,0.00107155,0.00181771,0.00074616,0.00162041,0.00225594,0.00063553
0.00081477,0.00150677,0.00069200,0.00096772,0.00151979,0.00055207,0.00084830,0.00144554,0.00059724,0.00106765,0.00184838,0.00078073,0.00112892,0.00180977,0.00068085
0.00112378,0.00198204,0.00085826,0.00099749,0.00153262,0.00053513,0.00086236,0.00158664,0.00072428,0.00107895,0.00185672,0.00077777,0.00116610,0.00185368,0.00068758
0.00109175,0.00192193,0.00083018,0.00096057,0.00149422,0.00053365,0.00096398,0.00171892,0.00075494,0.00119427,0.00204597,0.00085170,0.00125922,0.00181012,0.00055090
0.00066889,0.00118841,0.00051952,0.00098095,0.00151247,0.00053152,0.00101540,0.00176386,0.00074846,0.00105675,0.00175663,0.00069988,0.00122039,0.00183528,0.00061489
0.00084257,0.00136569,0.00052312,0.00112127,0.00170990,0.00058863,0.00119478,0.00186194,0.00066716,0.00114454,0.00183505,0.00069051,0.00119236,0.00175815,0.00056579
0.00075898,0.00140230,0.00064332,0.00102274,0.00155717,0.00053443,0.00096067,0.00161490,0.00065423,0.00097130,0.00165818,0.00068688,0.00114870,0.00170614,0.00055744
0.00082445,0.00134544,0.00052099,0.00096991,0.00150202,0.00053211,0.00086611,0.00148432,0.00061821,0.00091168,0.00155460,0.00064292,0.00120001,0.00175287,0.00055286
0.00068692,0.00128637,0.00059945,0.00165751,0.00246231,0.00080480,0.00085627,0.00147142,0.00061515,0.00094551,0.00161370,0.00066819,0.00115521,0.00169668,0.00054147
0.00084521,0.00146385,0.00061864,0.00080710,0.00142381,0.00061671,0.00087332,0.00144976,0.00057644,0.00107191,0.00175083,0.00067892,0.00114052,0.00167599,0.00053547
0.00068527,0.00124024,0.00055497,0.00081348,0.00147190,0.00065842,0.00091583,0.00152350,0.00060767,0.00144554,0.00217315,0.00072761,0.00123601,0.00185968,0.00062367
0.00067545,0.00127414,0.00059869,0.00116404,0.00191904,0.00075500,0.00095124,0.00157350,0.00062226,0.00122398,0.00186105,0.00063707,0.00131408,0.00187612,0.00056204
0.00105978,0.00186571,0.00080593,0.00091755,0.00162959,0.00071204,0.00091175,0.00154635,0.00063460,0.00141541,0.00215781,0.00074240,0.00715342,0.00789492,0.00074150
0.00113223,0.00191382,0.00078159,0.00094677,0.00168021,0.00073344,0.00091908,0.00160282,0.00068374,0.00329023,0.00398662,0.00069639,0.00105847,0.00168458,0.00062611
0.00106341,0.00250526,0.00144185,0.00138651,0.00213101,0.00074450,0.00089206,0.00149253,0.00060047,0.00109616,0.00172453,0.00062837,0.00128665,0.00197449,0.00068784
0.00067668,0.00433540,0.00365872,0.00101373,0.00169911,0.00068538,0.00086514,0.00147075,0.00060561,0.00108124,0.00165874,0.00057750,0.00139194,0.00219334,0.00080140
0.00067116,0.00128300,0.00061184,0.00097578,0.00165698,0.00068120,0.00098810,0.00163599,0.00064789,0.00127074,0.00188188,0.00061114,0.00105272,0.00171302,0.00066030
0.00067913,0.00133537,0.00065624,0.00096750,0.00164326,0.00067576,0.00100882,0.00172747,0.00071865,0.00127542,0.00187174,0.00059632,0.00140846,0.00205556,0.00064710
0.00066980,0.00124822,0.00057842,0.00104170,0.00178943,0.00074773,0.00097941,0.00161324,0.00063383,0.00113799,0.00169958,0.00056159,0.00107392,0.00168588,0.00061196
