seq_algoritmo,seq_total,seq_outros,2_algoritmo,2_total,2_outros,3_algoritmo,3_total,3_outros,4_algoritmo,4_total,4_outros,5_algoritmo,5_total,5_outros
0.00000721,0.00011631,0.00010910,0.00064093,0.00077255,0.00013162,0.00063967,0.00086991,0.00023024,0.00079305,0.00100871,0.00021566,0.00101027,0.00121453,0.00020426
0.00000701,0.00017038,0.00016337,0.00043562,0.00058124,0.00014562,0.00060818,0.00078464,0.00017646,0.00076685,0.00095554,0.00018869,0.00091838,0.00108381,0.00016543
0.00001203,0.00085151,0.00083948,0.00052751,0.00071693,0.00018942,0.00068591,0.00084733,0.00016142,0.00112422,0.00187538,0.00075116,0.00085819,0.00101939,0.00016120
0.00001267,0.00025717,0.00024450,0.00071735,0.00091424,0.00019689,0.00156170,0.00173505,0.00017335,0.00092483,0.00115280,0.00022797,0.00092605,0.00109467,0.00016862
0.00000702,0.00015527,0.00014825,0.00060938,0.00084028,0.00023090,0.00128226,0.00146791,0.00018565,0.00098143,0.00119889,0.00021746,0.00144103,0.00165999,0.00021896
0.00000702,0.00015749,0.00015047,0.00066747,0.00087546,0.00020799,0.00136577,0.00160327,0.00023750,0.00076474,0.00095353,0.00018879,0.00105654,0.00125106,0.00019452
0.00000656,0.00014183,0.00013527,0.00052257,0.00072747,0.00020490,0.00141688,0.00157621,0.00015933,0.00071576,0.00091083,0.00019507,0.00114899,0.00142481,0.00027582
0.00000668,0.00014669,0.00014001,0.00053387,0.00073217,0.00019830,0.00124460,0.00140745,0.00016285,0.00098570,0.00117664,0.00019094,0.00610668,0.00630978,0.00020310
0.00000672,0.00017181,0.00016509,0.00075163,0.00093807,0.00018644,0.00066616,0.00082850,0.00016234,0.00085583,0.00105496,0.00019913,0.00172638,0.00189051,0.00016413
0.00001107,0.00019033,0.00017926,0.00102553,0.00122396,0.00019843,0.00079534,0.00096016,0.00016482,0.00073484,0.00090955,0.00017471,0.00184939,0.00205708,0.00020769
0.00000651,0.00016795,0.00016144,0.00053487,0.00074976,0.00021489,0.00077751,0.00096527,0.00018776,0.00096281,0.00119971,0.00023690,0.00138515,0.00156728,0.00018213
0.00000810,0.00019864,0.00019054,0.00188644,0.00207654,0.00019010,0.00078284,0.00096131,0.00017847,0.00080061,0.00098927,0.00018866,0.00105551,0.00121934,0.00016383
0.00001217,0.00028083,0.00026866,0.00046122,0.00066009,0.00019887,0.00072422,0.00089784,0.00017362,0.00075945,0.00094792,0.00018847,0.00102191,0.00117475,0.00015284
0.00000777,0.00017329,0.00016552,0.00049876,0.00067581,0.00017705,0.00068830,0.00082369,0.00013539,0.00109094,0.00127171,0.00018077,0.00099580,0.00118051,0.00018471
0.00000665,0.00014237,0.00013572,0.00050605,0.00067371,0.00016766,0.00057098,0.00070816,0.00013718,0.00196361,0.00219190,0.00022829,0.00092085,0.00107436,0.00015351
0.00000670,0.00013919,0.00013249,0.00052995,0.00071817,0.00018822,0.00063746,0.00076807,0.00013061,0.00065889,0.00079587,0.00013698,0.00093083,0.00106885,0.00013802
0.00000637,0.00016270,0.00015633,0.00119790,0.00143150,0.00023360,0.00084409,0.00102767,0.00018358,0.00118507,0.00132281,0.00013774,0.00098266,0.00111989,0.00013723
0.00000716,0.00020532,0.00019816,0.00054626,0.00075662,0.00021036,0.00067408,0.00089419,0.00022011,0.00094682,0.00109454,0.00014772,0.00094241,0.00107703,0.00013462
0.00000657,0.00020287,0.00019630,0.00056204,0.00074468,0.00018264,0.00059325,0.00073238,0.00013913,0.00100455,0.00113773,0.00013318,0.00089321,0.00102917,0.00013596
0.00000702,0.00017773,0.00017071,0.00048371,0.00066285,0.00017914,0.00068048,0.00081995,0.00013947,0.00085366,0.00099990,0.00014624,0.00101786,0.00116138,0.00014352
0.00001279,0.00021658,0.00020379,0.00053481,0.00072955,0.00019474,0.00056963,0.00070784,0.00013821,0.00095056,0.00110029,0.00014973,0.00134076,0.00148826,0.00014750
0.00000727,0.00017335,0.00016608,0.00046606,0.00064563,0.00017957,0.00062319,0.00075968,0.00013649,0.00073615,0.00087894,0.00014279,0.00086803,0.00100406,0.00013603
0.00000718,0.00015395,0.00014677,0.00051083,0.00069183,0.00018100,0.00053462,0.00066824,0.00013362,0.00068441,0.00082415,0.00013974,0.00785559,0.00803579,0.00018020
