seq_algoritmo,seq_total,seq_outros,2_algoritmo,2_total,2_outros,3_algoritmo,3_total,3_outros,4_algoritmo,4_total,4_outros,5_algoritmo,5_total,5_outros
0.00004770,0.00020873,0.00016103,0.00060901,0.00087537,0.00026636,0.00069519,0.00089271,0.00019752,0.00062483,0.00083727,0.00021244,0.00066319,0.00084592,0.00018273
0.00011921,0.00030300,0.00018379,0.00054137,0.00075213,0.00021076,0.00067200,0.00090494,0.00023294,0.00069804,0.00088481,0.00018677,0.00112843,0.00134391,0.00021548
0.00006860,0.00024881,0.00018021,0.00053495,0.00073338,0.00019843,0.00059191,0.00084268,0.00025077,0.00098864,0.00127004,0.00028140,0.00087780,0.00111374,0.00023594
0.00010871,0.00034260,0.00023389,0.00057626,0.00078658,0.00021032,0.00060609,0.00082959,0.00022350,0.00064858,0.00085345,0.00020487,0.00090523,0.00112395,0.00021872
0.00004766,0.00020984,0.00016218,0.00049608,0.00070159,0.00020551,0.00062206,0.00084492,0.00022286,0.00071383,0.00094257,0.00022874,0.00085093,0.00105752,0.00020659
0.00004781,0.00020105,0.00015324,0.00049438,0.00068570,0.00019132,0.00065223,0.00087211,0.00021988,0.00073090,0.00091484,0.00018394,0.00079927,0.00100416,0.00020489
0.00004776,0.00022145,0.00017369,0.00061231,0.00083443,0.00022212,0.00067642,0.00091412,0.00023770,0.00068948,0.00087013,0.00018065,0.00076113,0.00096465,0.00020352
0.00004777,0.00021397,0.00016620,0.00046994,0.00068228,0.00021234,0.00072194,0.00094692,0.00022498,0.00069328,0.00086985,0.00017657,0.00092950,0.00116518,0.00023568
0.00005106,0.00022632,0.00017526,0.00054835,0.00076928,0.00022093,0.00063579,0.00086309,0.00022730,0.00070930,0.00091604,0.00020674,0.00091888,0.00111065,0.00019177
0.00005097,0.00020230,0.00015133,0.00063263,0.00085892,0.00022629,0.00062441,0.00085195,0.00022754,0.00074204,0.00094644,0.00020440,0.00193103,0.00213747,0.00020644
0.00005096,0.00020582,0.00015486,0.00056734,0.00076050,0.00019316,0.00058383,0.00078596,0.00020213,0.00067064,0.00088561,0.00021497,0.00255518,0.00280417,0.00024899
0.00005109,0.00022874,0.00017765,0.00048545,0.00066488,0.00017943,0.00056104,0.00077013,0.00020909,0.00070720,0.00092155,0.00021435,0.00098893,0.00116886,0.00017993
0.00005088,0.00022719,0.00017631,0.00052876,0.00073942,0.00021066,0.00050948,0.00069359,0.00018411,0.00067981,0.00087332,0.00019351,0.00081475,0.00100538,0.00019063
0.00005094,0.00020742,0.00015648,0.00042487,0.00069692,0.00027205,0.00056731,0.00076348,0.00019617,0.00066719,0.00086564,0.00019845,0.00075356,0.00092920,0.00017564
0.00005113,0.00022529,0.00017416,0.00045716,0.00063223,0.00017507,0.00087574,0.00108414,0.00020840,0.00064846,0.00082470,0.00017624,0.00103240,0.00122173,0.00018933
0.00005111,0.00022782,0.00017671,0.00044053,0.00064016,0.00019963,0.00069159,0.00090073,0.00020914,0.00066293,0.00090774,0.00024481,0.00073463,0.00094161,0.00020698
